category,question,answer
Admissions,What is the admission process for IIT Jodhpur?,"The admission process for IIT Jodhpur involves several steps:

1. **Registration**: Candidates must complete registration.
2. **Fill Preferred Choices**: They need to fill their preferred choices during the registration process.
3. **Participate in Seat Allocation Rounds**: After filling preferences, candidates participate in seat allocation rounds conducted by JoSAA (Joint Seat Allocation Authority).
4. **Document Verification**: Complete document verification of all required documents.
5. **Follow Admission Instructions**: Follow the admission instructions issued by JoSAA and IIT Jodhpur.

For more detailed information or specific queries related to these steps, please contact a nearby Student Guide (SG) or the registration help desk for assistance."
Admissions,What documents are required during admission?,"The required documents for admission at IIT Jodhpur include:

1. JoSAA Admission/Offer Letter (typically emailed starting around July 16 to July 22).
2. Class 10th and 12th Marksheets and Passing Certificates.
3. Valid Government Photo ID, such as an Aadhar Card, PAN, or Passport.
4. Transfer Certificate or Migration Certificate from the student's previous school or board.
5. Category/Reservation Certificate for SC/ST/OBC/EWS/PwD candidates, if applicable.

For more detailed information and any discrepancies regarding missing copies of these documents needed during physical registration, students can obtain photocopies at the Lecture Hall Complex (LHC)."
Admissions,How can I contact the admissions office?,"Please contact a nearby Student Guide (SG) or the registration help desk for assistance with admission-related queries. The admissions office details may vary depending on your specific situation, and the Student Guides (SGs) are the best people to help you."
Academics,What research areas are available in the Electrical Engineering department?,"The research areas available in the Electrical Engineering department at IIT Jodhpur include:

- Power Systems and Power Electronics
- Cyber-Physical Systems

These areas align with national priorities such as energy transition, smart grid development, electric mobility, and sustainable infrastructure."
Academics,What departments are available at IIT Jodhpur?,"IIT Jodhpur has academic departments and schools across engineering, science, humanities, management, and interdisciplinary research. These include:

- Computer Science and Engineering
- Electrical Engineering
- Electronics Engineering
- Mechanical Engineering
- Civil and Infrastructure Engineering
- Chemical Engineering
- Aerospace Engineering
- Energy and Automotive Engineering
- Environmental and Sustainability Engineering
- Metallurgical and Materials Engineering
- Bioscience and Bioengineering"
Academics,Where can I find the academic calendar?,"Academic holidays, semester breaks, and other institute holidays at IIT Jodhpur are announced through the official Academic Calendar released by IIT Jodhpur. Students should regularly check the Academic Calendar for the latest schedule."
Academics,How can I contact the faculty of the Computer Science department?,"I'm sorry, but the provided context does not contain information on how to contact the faculty of the Computer Science department. You may want to reach out to a Student Guide (SG) or the Student Well-Being Committee (SWC) for assistance with contacting the faculty members directly."
Library,What are the library timings?,"Library service timings include:

- Book Borrowing & Return: 9:30 AM – 8:00 PM on all working days.

Reading and digital resource access may follow separate schedules announced by the library."
Library,How can I access the digital library resources?,"You can access digital library resources through the Institute's ERP portal. Students have access to e-books, journals, research databases, and other digital academic resources. For more specific details or assistance, you may contact a nearby Student Guide (SG) or the registration help desk. Registration procedures may vary depending on your specific situation, and the Student Guides (SGs) are the best people to help you with any issues related to accessing these resources."
Hostel,What are the hostel fees for students?,"Hostel fees are included within the institute semester fees. This fee covers room rent, electricity, and water charges."
